key,english,it,status
"settings_email_body_mode_desc","The editors below are no-code: plain text only, with support for variables such as {{.Username}}, {{.Email}}, or {{.ExpiryDate}}. Buttons, links, and system dates are added automatically in the final render.","The message editors below are no-code: plain text only. Buttons, links, and system dates are added automatically in the final render.","ok"
"settings_email_body_mode_title","Simple messages without markup","Simple messages without markup","untranslated"
"settings_email_delivery_desc","Enable only the emails or sections that JellyGate should send automatically.","Attiva solo le e-mail o le sezioni che JellyGate deve inviare automaticamente.","ok"
"settings_email_delivery_title","Optional messages","Messaggi opzionali","ok"
"settings_email_preview_close_aria","Close preview","Email Preview Close Aria","ok"
"settings_email_preview_desc","Preview the final render with the shared email wrapper and demonstration values.","Email Preview Desc","ok"
"settings_email_preview_title","Email template preview","Email Preview Title","ok"
"settings_email_reminder_days","N days before expiry","Email Reminder Days","ok"
"settings_email_reminder_schedule_desc","Define how many days before expiration an automatic reminder is sent.","Email Reminder Schedule Desc","ok"
"settings_email_reminder_schedule_title","Expiry reminder schedule","Email Reminder Schedule Title","ok"
"settings_email_section_lifecycle","Account lifecycle","Ciclo di vita dell account","ok"
"settings_email_section_onboarding","Signup and invitations","Registrazione e inviti","ok"
"settings_email_section_security","Security and recovery","Sicurezza e recupero","ok"
"settings_email_templates_desc","Write only the message content. JellyGate automatically inserts it into the shared email wrapper, and you can personalize the text with the available variables.","Modifica solo i messaggi che usi davvero. Le sezioni a destra rendono la pagina piu semplice.","ok"
"settings_email_templates_title","Email templates","Modelli e-mail","ok"
"settings_email_tpl_confirmation","Confirmation email","E-mail di conferma","ok"
"settings_email_tpl_confirmation_desc","Sent to confirm signup.","Email Tpl Confirmation Desc","ok"
"settings_email_tpl_email_verification","Email verification","Verifica e-mail","ok"
"settings_email_tpl_email_verification_desc","Sent to confirm a new or existing email address before account recovery and notifications.","Inviato per confermare un indirizzo e-mail nuovo o esistente prima del recupero account e delle notifiche.","ok"
"settings_email_tpl_email_verification_subject","Email verification subject","Oggetto verifica e-mail","ok"
"settings_email_tpl_email_verification_subject_desc","Subject line for email verification messages. Variables are supported.","Oggetto dei messaggi di verifica e-mail. Le variabili sono supportate.","ok"
"settings_email_tpl_expiry_adjusted","Expiry adjusted","Scadenza aggiornata","ok"
"settings_email_tpl_expiry_adjusted_desc","Sent when account expiry date is modified.","Email Tpl Expiry Adjusted Desc","ok"
"settings_email_tpl_expiry_reminder","Expiry reminder","Promemoria di scadenza","ok"
"settings_email_tpl_expiry_reminder_1","Expiry reminder D-1","Promemoria di scadenza G-1","ok"
"settings_email_tpl_expiry_reminder_14","Expiry reminder D-14","Promemoria di scadenza G-14","ok"
"settings_email_tpl_expiry_reminder_14_desc","Template sent 14 days before expiration.","Email Tpl Expiry Reminder 14 Desc","ok"
"settings_email_tpl_expiry_reminder_1_desc","Template sent 1 day before expiration.","Email Tpl Expiry Reminder 1 Desc","ok"
"settings_email_tpl_expiry_reminder_7","Expiry reminder D-7","Promemoria di scadenza G-7","ok"
"settings_email_tpl_expiry_reminder_7_desc","Template sent 7 days before expiration.","Email Tpl Expiry Reminder 7 Desc","ok"
"settings_email_tpl_expiry_reminder_desc","Automatic notification before account expiry.","Email Tpl Expiry Reminder Desc","ok"
"settings_email_tpl_invitation","Invitation email","E-mail di invito","ok"
"settings_email_tpl_invitation_desc","Main message guiding users to Jellyfin access.","Email Tpl Invitation Desc","ok"
"settings_email_tpl_invite_expiry","Invitation expiry","Scadenza invito","ok"
"settings_email_tpl_invite_expiry_desc","Reminder that an invitation link will expire soon.","Email Tpl Invite Expiry Desc","ok"
"settings_email_tpl_password_reset","Password reset","Reimpostazione password","ok"
"settings_email_tpl_password_reset_desc","Contains reset link/code sent to user.","Email Tpl Password Reset Desc","ok"
"settings_email_tpl_post_signup_help","Post-signup help","Aiuto dopo l iscrizione","ok"
"settings_email_tpl_post_signup_help_desc","Instructions after account creation.","Email Tpl Post Signup Help Desc","ok"
"settings_email_tpl_pre_signup_help","Pre-signup help","Aiuto prima dell iscrizione","ok"
"settings_email_tpl_pre_signup_help_desc","Guidance before creating the account.","Email Tpl Pre Signup Help Desc","ok"
"settings_email_tpl_user_creation","User creation","Account creato","ok"
"settings_email_tpl_user_creation_desc","Confirms account creation by an administrator.","Email Tpl User Creation Desc","ok"
"settings_email_tpl_user_deletion","User deletion","Account eliminato","ok"
"settings_email_tpl_user_deletion_desc","Notification that an account was deleted.","Email Tpl User Deletion Desc","ok"
"settings_email_tpl_user_deletion_disable_notice","Do not send this email on user deletion","Email Tpl User Deletion Disable Notice","ok"
"settings_email_tpl_user_disabled","User disabled","Account disattivato","ok"
"settings_email_tpl_user_disabled_desc","Sent when an account is disabled.","Email Tpl User Disabled Desc","ok"
"settings_email_tpl_user_enabled","User enabled","Account riattivato","ok"
"settings_email_tpl_user_enabled_desc","Sent when an account is re-enabled.","Email Tpl User Enabled Desc","ok"
"settings_email_tpl_user_expired","User expired","Account scaduto","ok"
"settings_email_tpl_user_expired_desc","Sent when an account expires automatically.","Email Tpl User Expired Desc","ok"
"settings_email_tpl_welcome","Welcome","Benvenuto","ok"
"settings_email_tpl_welcome_desc","Global post-signup welcome message.","Email Tpl Welcome Desc","ok"
"settings_email_var_email","email address","Email Var Email","ok"
"settings_email_var_expires_in","validity duration","Email Var Expires In","ok"
"settings_email_var_expiry_date","expiry date","Email Var Expiry Date","ok"
"settings_email_var_help_url","support / onboarding URL","Email Var Help Url","ok"
"settings_email_var_invite_code","invitation code","Email Var Invite Code","ok"
"settings_email_var_invite_link","invitation link","Email Var Invite Link","ok"
"settings_email_var_jellyfin_url","Jellyfin login URL","Email Var Jellyfin Url","ok"
"settings_email_var_jellygate_url","public JellyGate URL","Email Var Jellygate Url","ok"
"settings_email_var_jellyseerr_url","Jellyseerr URL","Email Var Jellyseerr Url","ok"
"settings_email_var_message","custom message (admin invitation)","Email Var Message","ok"
"settings_email_var_reset_code","reset code","Email Var Reset Code","ok"
"settings_email_var_reset_link","reset link","Email Var Reset Link","ok"
"settings_email_var_username","username","Email Var Username","ok"
"settings_email_var_verification_code","email verification code","codice di verifica e-mail","ok"
"settings_email_var_verification_link","email verification link","link di verifica e-mail","ok"
"settings_email_variable_insert","Insert","Inserisci","ok"
"settings_email_variable_picker_label","Variable to insert","Variabile da inserire","ok"
"settings_email_variable_picker_placeholder","Choose a variable","Scegli una variabile","ok"
"settings_email_variables_title","Available variables","Email Variables Title","ok"
"settings_expiry_action_delete","Delete","Expiry Action Delete","ok"
"settings_expiry_action_disable","Disable","Expiry Action Disable","ok"
"settings_expiry_action_disable_then_delete","Disable then delete","Expiry Action Disable Then Delete","ok"
"settings_general_desc","Configure JellyGate global settings","Configura le impostazioni globali di JellyGate","ok"
"settings_general_title","General Settings","Impostazioni generali","ok"
"settings_host_required","Host *","Server *","ok"
"settings_invite_allow_inviter_grant","Allow inviters to let the new account create invitations","Allow inviters to let the new account create invitations","untranslated"
"settings_invite_allow_inviter_user_expiry","Allow inviters to customize user expiry","Invite Allow Inviter User Expiry","ok"
"settings_invite_delete_after_days","Delete account after (days)","Invite Delete After Days","ok"
"settings_invite_disable_after_days","Disable account after (days)","Invite Disable After Days","ok"
"settings_invite_enable_downloads","Allow direct downloads","Invite Enable Downloads","ok"
"settings_invite_expiry_action","Action on expiry","Invite Expiry Action","ok"
"settings_invite_inviter_max_link_hours","Max link TTL (hours, non-admin inviters)","Invite Inviter Max Link Hours","ok"
"settings_invite_inviter_max_uses","Max uses (non-admin inviters)","Invite Inviter Max Uses","ok"
"settings_invite_inviter_quota_day","Invite links quota / day (inviter)","Invite Inviter Quota Day","ok"
"settings_invite_inviter_quota_month","Invite links quota / month (inviter)","Invite Inviter Quota Month","ok"
"settings_invite_inviter_quota_week","Invite links quota / week (inviter)","Invite Inviter Quota Week","ok"
"settings_invite_password_max","Password max","Invite Password Max","ok"
"settings_invite_password_min","Password min","Invite Password Min","ok"
"settings_invite_profile_clone_user","Clone Jellyfin profile","Invite Profile Clone User","ok"
"settings_invite_profile_desc","These rules are automatically applied to each new invitation. Non-admin users cannot modify them from invitation creation.","Invite Profile Desc","ok"
"settings_invite_profile_preset","Jellyfin preset","Invite Profile Preset","ok"
"settings_invite_profile_title","Invitation profile","Invite Profile Title","ok"
"settings_invite_require_email","Email required at signup","E-mail obbligatoria alla registrazione","ok"
"settings_invite_require_email_verification","Verify email before account creation","Verificare l email prima di creare l account","ok"
"settings_invite_username_max","Username max","Invite Username Max","ok"
"settings_invite_username_min","Username min","Invite Username Min","ok"
"settings_ldap_base_dn","Base DN *","DN base *","ok"
"settings_ldap_bind_dn","Bind DN *","DN bind *","ok"
"settings_ldap_bind_password","Bind password *","Password bind *","ok"
"settings_ldap_desc","Connect JellyGate to your directory via LDAP/LDAPS","Collega JellyGate alla directory tramite LDAP o LDAPS","ok"
"settings_ldap_domain","AD domain *","Dominio AD *","ok"
"settings_ldap_group_admin","LDAP administrators group","Gruppo LDAP amministratori","ok"
"settings_ldap_group_admin_help","This group targets full-control accounts.","Questo gruppo e destinato agli account con controllo completo.","ok"
"settings_ldap_group_inviter","LDAP inviter group","Gruppo LDAP invitatori","ok"
"settings_ldap_group_inviter_help","This group grants normal access and invite rights.","Questo gruppo concede accesso normale e permessi di invito.","ok"
"settings_ldap_group_member_attr","Group member attribute","Attributo membro gruppo","ok"
"settings_ldap_group_member_attr_help","Set to member (AD/groupOfNames) or memberUid (posixGroup).","Usa member (AD/groupOfNames) o memberUid (posixGroup).","ok"
"settings_ldap_group_users","LDAP users group","Gruppo LDAP utenti","ok"
"settings_ldap_group_users_help","Automatically assigned to standard users.","Assegnato automaticamente agli utenti standard.","ok"
"settings_ldap_mode_hybrid","Hybrid (LDAP + Jellyfin)","Ibrido (LDAP + Jellyfin)","ok"
"settings_ldap_mode_ldap_only","LDAP only (no Jellyfin API user creation)","Solo LDAP (nessuna creazione utenti via API Jellyfin)","ok"
"settings_ldap_provision_mode","Provisioning mode","Modalita di provisioning","ok"
"settings_ldap_skip_verify","Skip TLS certificate verification","Ignora verifica certificato TLS","ok"
"settings_ldap_test_connection_btn","Test LDAP connection","Testa connessione LDAP","ok"
"settings_ldap_test_credentials_required","Enter test username and password for Jellyfin LDAP plugin validation.","Inserisci utente e password di test per verificare il plugin LDAP di Jellyfin.","ok"
"settings_ldap_test_failed","Test failed","Test non riuscito","ok"
"settings_ldap_test_jellyfin_btn","Test Jellyfin login (LDAP plugin)","Testa login Jellyfin (plugin LDAP)","ok"
"settings_ldap_test_password","Test password","Password di test","ok"
"settings_ldap_test_running","Test in progress...","Test in corso...","ok"
"settings_ldap_test_success","Test succeeded","Test riuscito","ok"
"settings_ldap_test_user_btn","Test user lookup","Testa ricerca utente","ok"
"settings_ldap_test_username","Test user identifier","Identificatore utente di test","ok"
"settings_ldap_test_username_required","Enter a test user identifier.","Inserisci un identificatore utente di test.","ok"
"settings_ldap_tests_desc","These tests do not save configuration. They validate LDAP connection, user lookup with the configured login attribute, then Jellyfin LDAP plugin authentication.","Questi test non salvano la configurazione. Verificano connessione LDAP, ricerca utente con attributo di login configurato e poi autenticazione tramite plugin LDAP di Jellyfin.","ok"
"settings_ldap_tests_title","LDAP tests and Jellyfin LDAP plugin","Test LDAP e plugin LDAP Jellyfin","ok"
"settings_ldap_title","Active Directory / LDAP","Active Directory / LDAP","untranslated"
"settings_ldap_tls","LDAPS (TLS)","LDAPS (TLS)","untranslated"
"settings_ldap_user_object_class","User objectClass","objectClass utente","ok"
"settings_ldap_user_object_class_help","Set to auto for detection, or force values like user, person, inetOrgPerson, posixAccount.","Usa auto per il rilevamento oppure forza user, person, inetOrgPerson, posixAccount.","ok"
"settings_ldap_user_ou","User OU","OU utenti","ok"
"settings_ldap_username_attr_ad","sAMAccountName (Active Directory)","sAMAccountName (Active Directory)","untranslated"
"settings_ldap_username_attr_auto","Auto-detect (AD/OpenLDAP)","Rilevamento automatico (AD/OpenLDAP)","ok"
"settings_ldap_username_attr_cn","cn (common name)","cn (nome comune)","ok"
"settings_ldap_username_attr_uid","uid (OpenLDAP / Synology)","uid (OpenLDAP / Synology)","untranslated"
"settings_ldap_username_attr_upn","userPrincipalName (UPN)","userPrincipalName (UPN)","untranslated"
"settings_ldap_username_attribute","User login attribute","Attributo di accesso utente","ok"
"settings_ldap_username_attribute_help","Pick the LDAP attribute used to identify users (uid on Synology/OpenLDAP, sAMAccountName on Active Directory).","Scegli l attributo LDAP usato per identificare gli utenti (uid su Synology/OpenLDAP, sAMAccountName su Active Directory).","ok"
"settings_loading","Loading...","Caricamento...","ok"
"settings_matrix_access_token","Access token","Matrix Access Token","ok"
"settings_matrix_homeserver_url","Homeserver URL","Matrix Homeserver Url","ok"
"settings_matrix_room_id","Room ID","Matrix Room Id","ok"
"settings_open_jellyfin","Open Jellyfin","Apri Jellyfin","ok"
"settings_open_jellygate_public","Open public JellyGate","Apri JellyGate pubblico","ok"
"settings_open_jellyseerr","Open Jellyseerr","Apri Jellyseerr","ok"
"settings_open_jellytrack","Open jellytrack","Apri jellytrack","ok"
"settings_overview_backup_desc","Plan backups, import archives, and prepare a safe restoration.","Pianifica backup, importa archivi e prepara un ripristino sicuro.","ok"
"settings_overview_desc","Move quickly between language defaults, identity, delivery channels, templates, and recovery workflows.","Passa rapidamente tra lingua predefinita, identitÃ , canali di invio, modelli e ripristino.","ok"
"settings_overview_general_desc","Public URLs, default language, and invitation defaults.","URL pubblici, lingua predefinita e regole base degli inviti.","ok"
"settings_overview_ldap_desc","Directory connection, provisioning mode, groups, and validation tests.","Connessione alla directory, modalitÃ  di provisioning, gruppi e test di validazione.","ok"
"settings_overview_smtp_desc","Outgoing email transport used for invitations and password recovery.","Trasporto e-mail usato per inviti e recupero password.","ok"
"settings_overview_templates_desc","Edit every email scenario and preview the rendered message.","Modifica ogni scenario e-mail e controlla l'anteprima renderizzata.","ok"
"settings_overview_title","Service control","Centro servizi","ok"
"settings_overview_webhooks_desc","Discord, Telegram, and Matrix notifications for registration activity.","Notifiche Discord, Telegram e Matrix per nuove registrazioni.","ok"
"settings_password_digit_required","Digit required","Password Digit Required","ok"
"settings_password_lower_required","Lowercase required","Password Lower Required","ok"
"settings_password_special_required","Special character required","Password Special Required","ok"
"settings_password_upper_required","Uppercase required","Password Upper Required","ok"
"settings_port","Port","Porta","ok"
"settings_preset_fallback","Preset","Preset","untranslated"
"settings_preview_button","Preview","Anteprima","ok"
"settings_preview_impossible","Preview unavailable","Anteprima non disponibile","ok"
"settings_preview_loading","Loading preview...","Caricamento anteprima...","ok"
"settings_public_jellyfin_help","Used in buttons and email templates via","Public Jellyfin Help","ok"
"settings_public_jellyfin_url","Public Jellyfin URL","URL pubblico di Jellyfin","ok"
"settings_public_jellygate_help","Used for invitation links and templates via","Public Jellygate Help","ok"
"settings_public_jellygate_url","Public JellyGate URL","URL pubblico di JellyGate","ok"
"settings_public_jellyseerr_help","Available in templates via","Public Jellyseerr Help","ok"
"settings_public_jellyseerr_url","Public Jellyseerr URL","URL pubblico di Jellyseerr","ok"
"settings_public_jellytrack_help","Available in templates via","Public jellytrack Help","ok"
"settings_public_jellytrack_url","Public jellytrack URL","URL pubblico di jellytrack","ok"
"settings_quick_links","Quick links","Collegamenti rapidi","ok"
"settings_save_error","Save failed","Salvataggio non riuscito","ok"
"settings_save_invite_profile","Save invitation profile","Salva profilo invito","ok"
"settings_save_ldap","Save LDAP settings","Salva impostazioni LDAP","ok"
"settings_save_smtp","Save SMTP","Salva SMTP","ok"
"settings_save_templates","Save templates","Salva modelli","ok"
"settings_save_webhooks","Save Webhooks","Salva webhook","ok"
"settings_saved","Settings saved","Impostazioni salvate","ok"
"settings_smtp_desc","Configure email sending (invitations, password reset)","Configura l invio delle e-mail per inviti e reimpostazione password","ok"
"settings_smtp_from","Sender address *","Smtp From","ok"
"settings_smtp_password","Password *","Smtp Password","ok"
"settings_smtp_starttls","STARTTLS / TLS","Smtp Starttls","ok"
"settings_smtp_title","SMTP server","Server SMTP","ok"
"settings_smtp_username","Username *","Smtp Username","ok"
"settings_subheading","Configure external services from this interface","Configura i servizi esterni da questa interfaccia","ok"
"settings_tab_backup","Backups","Backup","ok"
"settings_tab_email_templates","Email Templates","Modelli e-mail","ok"
"settings_tab_general","General","Generale","ok"
"settings_tab_ldap","LDAP","LDAP","untranslated"
"settings_tab_smtp","SMTP","SMTP","untranslated"
"settings_tab_webhooks","Webhooks","Webhooks","untranslated"
"settings_telegram_bot_token","Bot token","Telegram Bot Token","ok"
"settings_telegram_chat_id","Chat ID","Telegram Chat Id","ok"
"settings_template_empty","Template is empty.","Il modello e vuoto.","ok"
"settings_webhook_url","Webhook URL","URL webhook","ok"
"settings_webhooks_desc","Receive notifications when a user registers","Ricevi notifiche quando un utente si registra","ok"
"settings_webhooks_title","Webhook notifications","Notifiche webhook","ok"
"settings_zero_no_extra_limit","0 = no extra limit.","Zero No Extra Limit","ok"
"settings_zero_unlimited","0 = unlimited.","Zero Unlimited","ok"
"stat_active_users","Active","Attivi","ok"
"stat_banned_users","Banned","Bloccati","ok"
"stat_invitations","Invitations","Inviti","ok"
"stat_total_users","Users","Utenti","ok"
"status_active","Active","Attivo","ok"
"status_banned","Banned","Bloccato","ok"
"status_inactive","Inactive","Inattivo","ok"
"submitting","Creating account...","Creazione account...","ok"
"success","Success","Operazione riuscita","ok"
"users_action_activate","Activate account","Attiva account","ok"
"users_action_activate_help","Re-enable the selected accounts without changing their other settings.","Riattiva gli account selezionati senza cambiare le altre impostazioni.","ok"
"users_action_apply_preset","Apply Jellyfin preset","Applica preset Jellyfin","ok"
"users_action_apply_preset_help","Push a predefined Jellyfin policy preset to every selected account.","Applica una policy Jellyfin predefinita a tutti gli account selezionati.","ok"
"users_action_deactivate","Disable account","Disattiva account","ok"
"users_action_deactivate_help","Temporarily block access for the selected accounts.","Blocca temporaneamente l'accesso agli account selezionati.","ok"
"users_action_delete","Delete account","Elimina account","ok"
"users_action_delete_help","Permanently remove the selected accounts from every configured backend.","Rimuove definitivamente gli account selezionati da tutti i backend configurati.","ok"
"users_action_jellyfin_policy","Adjust Jellyfin policy","Modifica policy Jellyfin","ok"
"users_action_jellyfin_policy_help","Override downloads, remote access, sessions, or bitrate limits in bulk.","Aggiorna in blocco download, accesso remoto, sessioni o limiti di bitrate.","ok"
"users_action_send_email","Send email","Invia e-mail","ok"
"users_action_send_email_help","Write a one-off message and deliver it to the selected users.","Scrivi un messaggio una tantum e invialo agli utenti selezionati.","ok"
"users_action_send_password_reset","Send password reset","Invia reset password","ok"
"users_action_send_password_reset_help","Trigger a password reset email for every selected account.","Invia un'e-mail di reset password per ogni account selezionato.","ok"
"users_action_set_expiry","Set access expiry","Imposta scadenza accesso","ok"
"users_action_set_expiry_help","Define or clear the access expiration date on the selected users.","Imposta o rimuove la data di scadenza per gli utenti selezionati.","ok"
"users_action_set_invite","Update invite rights","Aggiorna diritti di invito","ok"
"users_action_set_invite_help","Grant or remove invitation rights on the selected accounts.","Concede o revoca i diritti di invito agli account selezionati.","ok"
"users_allow_invite","Can invite","PuÃ² invitare","ok"
"users_apply","Apply","Applica","ok"
"users_bulk_action_failed","Bulk action failed","Azione massiva non riuscita","ok"
"users_bulk_action_generic","Bulk action","Azione massiva","ok"
"users_bulk_action_on","for","per","ok"
"users_bulk_action_placeholder","Choose a bulk action","Scegli un'azione massiva","ok"
"users_bulk_assistant_desc","Select the right users first, then configure the action with as little rework as possible.","Seleziona prima gli utenti corretti e poi configura l'azione riducendo al minimo gli errori.","ok"
"users_bulk_blocked_prefix","Blocked","Bloccato","ok"
"users_bulk_choose_action","Choose an action","Scegli azione","ok"
"users_bulk_complete_required","Complete the required parameters","Completa i campi obbligatori","ok"
"users_bulk_config_ready","Configuration looks valid","Configurazione valida","ok"
"users_bulk_confirm_template","{action}`n`nTarget users: {count}`nConfirm execution?","{action}`n`nUtenti interessati: {count}`nConfermare l esecuzione?","ok"
"users_bulk_desc","Select users, choose an action, then validate the required parameters before execution.","Seleziona gli utenti, scegli un'azione e valida i parametri obbligatori prima dell'esecuzione.","ok"
"users_bulk_done","Action completed: {success}/{total} success","Azione completata: {success}/{total} riuscite","ok"
"users_bulk_email","Bulk email","E-mail massiva","ok"
"users_bulk_email_body","Message body","Corpo del messaggio","ok"
"users_bulk_email_open","Open the bulk email assistant","Apri l'assistente e-mail massiva","ok"
"users_bulk_email_subject","Email subject","Oggetto e-mail","ok"
"users_bulk_email_variables","Available variables","Variabili disponibili","ok"
"users_bulk_instructions","The assistant prevents incomplete actions before execution. Select users, choose the action, then finish the required fields.","L'assistente blocca le azioni incomplete prima dell'esecuzione. Seleziona utenti, scegli l'azione e completa i campi richiesti.","ok"
"users_bulk_jellyfin_invalid","One or more Jellyfin policy values are invalid.","Uno o piÃ¹ valori della policy Jellyfin non sono validi.","ok"
"users_bulk_need_email_body","Enter both the email subject and message body.","Inserisci sia l'oggetto sia il testo del messaggio.","ok"
"users_bulk_need_expiry","Set an expiry date or choose to clear the existing one.","Imposta una data di scadenza oppure scegli di cancellare quella esistente.","ok"
"users_bulk_need_jellyfin_param","Change at least one Jellyfin policy setting.","Modifica almeno un parametro della policy Jellyfin.","ok"
"users_bulk_need_preset","Choose a Jellyfin preset before continuing.","Seleziona un preset Jellyfin prima di continuare.","ok"
"users_bulk_no_extra_params","This action does not need extra parameters.","Questa azione non richiede parametri aggiuntivi.","ok"
"users_bulk_none","none","nessuna","ok"
"users_bulk_ready_suffix","ready to apply","pronto da applicare","ok"
"users_bulk_select_one","Select at least one user.","Seleziona almeno un utente.","ok"
"users_bulk_select_preset","Choose a preset","Scegli preset","ok"
"users_bulk_selected_suffix","users selected","utenti selezionati","ok"
"users_bulk_step_action","Choose action","Scegli azione","ok"
"users_bulk_step_select","Select users","Seleziona utenti","ok"
"users_bulk_step_verify","Validate config","Verifica configurazione","ok"
"users_bulk_summary_placeholder","Your action summary will appear here.","Qui apparirÃ  il riepilogo dell'azione.","ok"
"users_bulk_title","Bulk assistant","Assistente massivo","ok"
"users_bulk_valid_prefix","Valid","Valido","ok"
"users_clear_expiry","Clear expiry","Rimuovi scadenza","ok"
"users_close","Close","Chiudi","ok"
"users_col_expiry","Expiry","Scadenza","ok"
"users_col_group","Group","Gruppo","ok"
"users_col_invite","Invite","Invito","ok"
"users_delete_confirm","Delete permanently","Elimina definitivamente","ok"
"users_delete_confirm_template","User ""{username}"" will be deleted from AD, Jellyfin, and the local database. This action is irreversible.","L utente ""{username}"" verra eliminato da AD, Jellyfin e dal database locale. Questa azione e irreversibile.","ok"
"users_delete_confirm_title","Confirm deletion","Conferma eliminazione","ok"
"users_delete_error","Unable to delete this user.","Impossibile eliminare l'utente.","ok"
"users_delete_title","Delete user","Elimina utente","ok"
"users_deleted","User deleted","Utente eliminato","ok"
"users_displayed_count","displayed /","visualizzati /","ok"
"users_edit","Edit","Modifica","ok"
"users_edit_title","Edit account","Modifica account","ok"
"users_filter_expiry_active","With expiry date","Con data di scadenza","ok"
"users_filter_expiry_expired","Already expired","GiÃ  scaduti","ok"
"users_filter_expiry_none","No expiry date","Senza scadenza","ok"
"users_filter_extra_all","Any extra signal","Qualsiasi segnale extra","ok"
"users_filter_invite_all","Any invite state","Qualsiasi stato invito","ok"
"users_filter_invite_disabled","Invite disabled","Invito disabilitato","ok"
"users_filter_invite_enabled","Invite enabled","Invito abilitato","ok"
"users_filter_jellyfin_all","Any Jellyfin state","Qualsiasi stato Jellyfin","ok"
"users_filter_jellyfin_disabled","Jellyfin disabled","Jellyfin disabilitato","ok"
"users_filter_jellyfin_missing","Missing in Jellyfin","Assente in Jellyfin","ok"
"users_filter_jellyfin_ok","Healthy in Jellyfin","Jellyfin operativo","ok"
"users_filter_status_all","Any account status","Qualsiasi stato account","ok"
"users_filter_with_email","Has email address","Con indirizzo e-mail","ok"
"users_filter_without_email","No email address","Senza indirizzo e-mail","ok"
"users_filters_clear","Clear filters","Cancella filtri","ok"
"users_filters_desc","Combine search, state, Jellyfin sync, invitation rights, and expiry signals.","Combina ricerca, stato, sincronizzazione Jellyfin, diritti di invito e segnali di scadenza.","ok"
"users_filters_none","No active filters.","Nessun filtro attivo.","ok"
"users_filters_title","Find the right accounts","Trova gli account giusti","ok"
"users_heading","User Management","Gestione utenti","ok"
"users_jellyfin_disabled","Jellyfin disabled","Jellyfin disattivato","ok"
"users_jellyfin_missing","Jellyfin missing","Assente in Jellyfin","ok"
"users_jf_bitrate_placeholder","Remote bitrate limit (kbps)","Limite bitrate remoto (kbps)","ok"
"users_jf_download_allowed","Downloads allowed","Download consentiti","ok"
"users_jf_download_blocked","Downloads blocked","Download bloccati","ok"
"users_jf_download_unchanged","Keep current download policy","Mantieni la policy download attuale","ok"
"users_jf_remote_allowed","Remote access allowed","Accesso remoto consentito","ok"
"users_jf_remote_blocked","Remote access blocked","Accesso remoto bloccato","ok"
"users_jf_remote_unchanged","Keep current remote policy","Mantieni la policy remota attuale","ok"
"users_jf_sessions_placeholder","Max active sessions","Sessioni attive massime","ok"
"users_live_filters_desc","See the active constraints before applying a bulk action.","Controlla i vincoli attivi prima di applicare un'azione massiva.","ok"
"users_live_filters_title","Filter snapshot","Riepilogo filtri","ok"
"users_load_error","Unable to load users","Impossibile caricare gli utenti","ok"
"users_load_error_details","The users list could not be loaded.","Impossibile caricare l'elenco utenti.","ok"
"users_no","No","No","untranslated"
"users_no_filter_match","No account matches the current filters.","Nessun account corrisponde ai filtri attuali.","ok"
"users_no_local","No local accounts found yet.","Nessun account locale trovato.","ok"
"users_overview_expiring","Expired access","Accessi scaduti","ok"
"users_overview_filtered","Visible now","Visibili ora","ok"
"users_overview_inviters","Can invite","Possono invitare","ok"
"users_overview_total","Total accounts","Account totali","ok"
"users_reset","Reset","Reset","untranslated"
"users_reset_error","Unable to send the password reset message.","Impossibile inviare il messaggio di reset password.","ok"
"users_reset_sent","Password reset link sent to {username}","Link di reset password inviato a {username}","ok"
"users_search_placeholder","Search...","Cerca...","ok"
"users_segment_access","Access policy","Politica di accesso","ok"
"users_segment_accounts","Account state","Stato account","ok"
"users_segment_delivery","Communication","Comunicazione","ok"
"users_select_filtered","Select filtered","Seleziona filtrati","ok"
"users_selection_clear","Clear selection","Cancella selezione","ok"
"users_selection_desc","Review the exact accounts that will be affected next.","Verifica esattamente quali account saranno coinvolti nel prossimo passaggio.","ok"
"users_selection_empty","No users selected yet.","Nessun utente selezionato.","ok"
"users_selection_more","+{count} more","+{count} altri","ok"
"users_selection_title","Selection snapshot","Riepilogo selezione","ok"
"users_subheading","Manage accounts, enable or delete users","Gestisci gli account, abilita o elimina gli utenti","ok"
"users_subheading_extended","Manage local accounts, Jellyfin sync state, invitation rights, and expiry rules from one control room.","Gestisci account locali, stato di sincronizzazione Jellyfin, diritti di invito e regole di scadenza da un'unica cabina di controllo.","ok"
"users_sync_confirm","Launch a synchronization against Jellyfin now?","Avviare ora una sincronizzazione con Jellyfin?","ok"
"users_sync_done","Jellyfin sync completed","Sincronizzazione Jellyfin completata","ok"
"users_sync_error","Jellyfin sync failed","Sincronizzazione Jellyfin non riuscita","ok"
"users_sync_jellyfin","Sync Jellyfin","Sincronizza Jellyfin","ok"
"users_sync_jellyfin_title","Refresh local data from Jellyfin","Aggiorna i dati locali da Jellyfin","ok"
"users_sync_network_error","Network error during Jellyfin synchronization","Errore di rete durante la sincronizzazione Jellyfin","ok"
"users_table_desc","Inspect each local account, then edit, reset, trace, enable, or delete in one click.","Controlla ogni account locale e poi modifica, reimposta, traccia, abilita o elimina con un clic.","ok"
"users_table_title","Accounts list","Elenco account","ok"
"users_timeline_critical","Critical","Critico","ok"
"users_timeline_empty","No timeline events found for this user.","Nessun evento trovato nella cronologia di questo utente.","ok"
"users_timeline_important","Important","Importante","ok"
