key,english,pt-br,status
"settings_email_body_mode_desc","The editors below are no-code: plain text only, with support for variables such as {{.Username}}, {{.Email}}, or {{.ExpiryDate}}. Buttons, links, and system dates are added automatically in the final render.","The message editors below are no-code: plain text only. Buttons, links, and system dates are added automatically in the final render.","ok"
"settings_email_body_mode_title","Simple messages without markup","Simple messages without markup","untranslated"
"settings_email_delivery_desc","Enable only the emails or sections that JellyGate should send automatically.","Ative apenas os e-mails ou blocos que o JellyGate deve enviar automaticamente.","ok"
"settings_email_delivery_title","Optional messages","Mensagens opcionais","ok"
"settings_email_preview_close_aria","Close preview","Email Preview Close Aria","ok"
"settings_email_preview_desc","Preview the final render with the shared email wrapper and demonstration values.","Email Preview Desc","ok"
"settings_email_preview_title","Email template preview","Email Preview Title","ok"
"settings_email_reminder_days","N days before expiry","Email Reminder Days","ok"
"settings_email_reminder_schedule_desc","Define how many days before expiration an automatic reminder is sent.","Email Reminder Schedule Desc","ok"
"settings_email_reminder_schedule_title","Expiry reminder schedule","Email Reminder Schedule Title","ok"
"settings_email_section_lifecycle","Account lifecycle","Ciclo de vida da conta","ok"
"settings_email_section_onboarding","Signup and invitations","Cadastro e convites","ok"
"settings_email_section_security","Security and recovery","Seguranca e recuperacao","ok"
"settings_email_templates_desc","Write only the message content. JellyGate automatically inserts it into the shared email wrapper, and you can personalize the text with the available variables.","Edite apenas as mensagens que voce realmente usa. As secoes a direita deixam a pagina mais clara.","ok"
"settings_email_templates_title","Email templates","Modelos de e-mail","ok"
"settings_email_tpl_confirmation","Confirmation email","E-mail de confirmacao","ok"
"settings_email_tpl_confirmation_desc","Sent to confirm signup.","Email Tpl Confirmation Desc","ok"
"settings_email_tpl_email_verification","Email verification","Verificacao de e-mail","ok"
"settings_email_tpl_email_verification_desc","Sent to confirm a new or existing email address before account recovery and notifications.","Enviado para confirmar um endereco de e-mail novo ou existente antes da recuperacao da conta e das notificacoes.","ok"
"settings_email_tpl_email_verification_subject","Email verification subject","Assunto de verificacao de e-mail","ok"
"settings_email_tpl_email_verification_subject_desc","Subject line for email verification messages. Variables are supported.","Linha de assunto dos e-mails de verificacao. Variaveis sao suportadas.","ok"
"settings_email_tpl_expiry_adjusted","Expiry adjusted","Expiracao ajustada","ok"
"settings_email_tpl_expiry_adjusted_desc","Sent when account expiry date is modified.","Email Tpl Expiry Adjusted Desc","ok"
"settings_email_tpl_expiry_reminder","Expiry reminder","Lembrete de expiracao","ok"
"settings_email_tpl_expiry_reminder_1","Expiry reminder D-1","Lembrete de expiracao D-1","ok"
"settings_email_tpl_expiry_reminder_14","Expiry reminder D-14","Lembrete de expiracao D-14","ok"
"settings_email_tpl_expiry_reminder_14_desc","Template sent 14 days before expiration.","Email Tpl Expiry Reminder 14 Desc","ok"
"settings_email_tpl_expiry_reminder_1_desc","Template sent 1 day before expiration.","Email Tpl Expiry Reminder 1 Desc","ok"
"settings_email_tpl_expiry_reminder_7","Expiry reminder D-7","Lembrete de expiracao D-7","ok"
"settings_email_tpl_expiry_reminder_7_desc","Template sent 7 days before expiration.","Email Tpl Expiry Reminder 7 Desc","ok"
"settings_email_tpl_expiry_reminder_desc","Automatic notification before account expiry.","Email Tpl Expiry Reminder Desc","ok"
"settings_email_tpl_invitation","Invitation email","E-mail de convite","ok"
"settings_email_tpl_invitation_desc","Main message guiding users to Jellyfin access.","Email Tpl Invitation Desc","ok"
"settings_email_tpl_invite_expiry","Invitation expiry","Expiracao do convite","ok"
"settings_email_tpl_invite_expiry_desc","Reminder that an invitation link will expire soon.","Email Tpl Invite Expiry Desc","ok"
"settings_email_tpl_password_reset","Password reset","Redefinicao de senha","ok"
"settings_email_tpl_password_reset_desc","Contains reset link/code sent to user.","Email Tpl Password Reset Desc","ok"
"settings_email_tpl_post_signup_help","Post-signup help","Ajuda apos o cadastro","ok"
"settings_email_tpl_post_signup_help_desc","Instructions after account creation.","Email Tpl Post Signup Help Desc","ok"
"settings_email_tpl_pre_signup_help","Pre-signup help","Ajuda antes do cadastro","ok"
"settings_email_tpl_pre_signup_help_desc","Guidance before creating the account.","Email Tpl Pre Signup Help Desc","ok"
"settings_email_tpl_user_creation","User creation","Conta criada","ok"
"settings_email_tpl_user_creation_desc","Confirms account creation by an administrator.","Email Tpl User Creation Desc","ok"
"settings_email_tpl_user_deletion","User deletion","Conta removida","ok"
"settings_email_tpl_user_deletion_desc","Notification that an account was deleted.","Email Tpl User Deletion Desc","ok"
"settings_email_tpl_user_deletion_disable_notice","Do not send this email on user deletion","Email Tpl User Deletion Disable Notice","ok"
"settings_email_tpl_user_disabled","User disabled","Conta desativada","ok"
"settings_email_tpl_user_disabled_desc","Sent when an account is disabled.","Email Tpl User Disabled Desc","ok"
"settings_email_tpl_user_enabled","User enabled","Conta reativada","ok"
"settings_email_tpl_user_enabled_desc","Sent when an account is re-enabled.","Email Tpl User Enabled Desc","ok"
"settings_email_tpl_user_expired","User expired","Conta expirada","ok"
"settings_email_tpl_user_expired_desc","Sent when an account expires automatically.","Email Tpl User Expired Desc","ok"
"settings_email_tpl_welcome","Welcome","Boas-vindas","ok"
"settings_email_tpl_welcome_desc","Global post-signup welcome message.","Email Tpl Welcome Desc","ok"
"settings_email_var_email","email address","Email Var Email","ok"
"settings_email_var_expires_in","validity duration","Email Var Expires In","ok"
"settings_email_var_expiry_date","expiry date","Email Var Expiry Date","ok"
"settings_email_var_help_url","support / onboarding URL","Email Var Help Url","ok"
"settings_email_var_invite_code","invitation code","Email Var Invite Code","ok"
"settings_email_var_invite_link","invitation link","Email Var Invite Link","ok"
"settings_email_var_jellyfin_url","Jellyfin login URL","Email Var Jellyfin Url","ok"
"settings_email_var_jellygate_url","public JellyGate URL","Email Var Jellygate Url","ok"
"settings_email_var_jellyseerr_url","Jellyseerr URL","Email Var Jellyseerr Url","ok"
"settings_email_var_message","custom message (admin invitation)","Email Var Message","ok"
"settings_email_var_reset_code","reset code","Email Var Reset Code","ok"
"settings_email_var_reset_link","reset link","Email Var Reset Link","ok"
"settings_email_var_username","username","Email Var Username","ok"
"settings_email_var_verification_code","email verification code","codigo de verificacao de e-mail","ok"
"settings_email_var_verification_link","email verification link","link de verificacao de e-mail","ok"
"settings_email_variable_insert","Insert","Inserir","ok"
"settings_email_variable_picker_label","Variable to insert","Variavel para inserir","ok"
"settings_email_variable_picker_placeholder","Choose a variable","Escolha uma variavel","ok"
"settings_email_variables_title","Available variables","Email Variables Title","ok"
"settings_expiry_action_delete","Delete","Expiry Action Delete","ok"
"settings_expiry_action_disable","Disable","Expiry Action Disable","ok"
"settings_expiry_action_disable_then_delete","Disable then delete","Expiry Action Disable Then Delete","ok"
"settings_general_desc","Configure JellyGate global settings","Configure as definicoes globais do JellyGate","ok"
"settings_general_title","General Settings","Configuracoes gerais","ok"
"settings_host_required","Host *","Servidor *","ok"
"settings_invite_allow_inviter_grant","Allow inviters to let the new account create invitations","Allow inviters to let the new account create invitations","untranslated"
"settings_invite_allow_inviter_user_expiry","Allow inviters to customize user expiry","Invite Allow Inviter User Expiry","ok"
"settings_invite_delete_after_days","Delete account after (days)","Invite Delete After Days","ok"
"settings_invite_disable_after_days","Disable account after (days)","Invite Disable After Days","ok"
"settings_invite_enable_downloads","Allow direct downloads","Invite Enable Downloads","ok"
"settings_invite_expiry_action","Action on expiry","Invite Expiry Action","ok"
"settings_invite_inviter_max_link_hours","Max link TTL (hours, non-admin inviters)","Invite Inviter Max Link Hours","ok"
"settings_invite_inviter_max_uses","Max uses (non-admin inviters)","Invite Inviter Max Uses","ok"
"settings_invite_inviter_quota_day","Invite links quota / day (inviter)","Invite Inviter Quota Day","ok"
"settings_invite_inviter_quota_month","Invite links quota / month (inviter)","Invite Inviter Quota Month","ok"
"settings_invite_inviter_quota_week","Invite links quota / week (inviter)","Invite Inviter Quota Week","ok"
"settings_invite_password_max","Password max","Invite Password Max","ok"
"settings_invite_password_min","Password min","Invite Password Min","ok"
"settings_invite_profile_clone_user","Clone Jellyfin profile","Invite Profile Clone User","ok"
"settings_invite_profile_desc","These rules are automatically applied to each new invitation. Non-admin users cannot modify them from invitation creation.","Invite Profile Desc","ok"
"settings_invite_profile_preset","Jellyfin preset","Invite Profile Preset","ok"
"settings_invite_profile_title","Invitation profile","Invite Profile Title","ok"
"settings_invite_require_email","Email required at signup","E-mail obrigatorio no cadastro","ok"
"settings_invite_require_email_verification","Verify email before account creation","Verificar e-mail antes de criar a conta","ok"
"settings_invite_username_max","Username max","Invite Username Max","ok"
"settings_invite_username_min","Username min","Invite Username Min","ok"
"settings_ldap_base_dn","Base DN *","DN base *","ok"
"settings_ldap_bind_dn","Bind DN *","DN de bind *","ok"
"settings_ldap_bind_password","Bind password *","Senha de bind *","ok"
"settings_ldap_desc","Connect JellyGate to your directory via LDAP/LDAPS","Conecte o JellyGate ao seu diretorio via LDAP ou LDAPS","ok"
"settings_ldap_domain","AD domain *","Dominio AD *","ok"
"settings_ldap_group_admin","LDAP administrators group","Grupo LDAP de administradores","ok"
"settings_ldap_group_admin_help","This group targets full-control accounts.","Este grupo e destinado a contas com controle total.","ok"
"settings_ldap_group_inviter","LDAP inviter group","Grupo LDAP de convidadores","ok"
"settings_ldap_group_inviter_help","This group grants normal access and invite rights.","Este grupo recebe acesso normal e permissao para convidar.","ok"
"settings_ldap_group_member_attr","Group member attribute","Atributo de membro do grupo","ok"
"settings_ldap_group_member_attr_help","Set to member (AD/groupOfNames) or memberUid (posixGroup).","Use member (AD/groupOfNames) ou memberUid (posixGroup).","ok"
"settings_ldap_group_users","LDAP users group","Grupo LDAP de usuarios","ok"
"settings_ldap_group_users_help","Automatically assigned to standard users.","Atribuido automaticamente aos usuarios padrao.","ok"
"settings_ldap_mode_hybrid","Hybrid (LDAP + Jellyfin)","Hibrido (LDAP + Jellyfin)","ok"
"settings_ldap_mode_ldap_only","LDAP only (no Jellyfin API user creation)","Somente LDAP (sem criacao de usuarios via API do Jellyfin)","ok"
"settings_ldap_provision_mode","Provisioning mode","Modo de provisionamento","ok"
"settings_ldap_skip_verify","Skip TLS certificate verification","Ignorar verificacao do certificado TLS","ok"
"settings_ldap_test_connection_btn","Test LDAP connection","Testar conexao LDAP","ok"
"settings_ldap_test_credentials_required","Enter test username and password for Jellyfin LDAP plugin validation.","Informe usuario e senha de teste para validar o plugin LDAP do Jellyfin.","ok"
"settings_ldap_test_failed","Test failed","Teste falhou","ok"
"settings_ldap_test_jellyfin_btn","Test Jellyfin login (LDAP plugin)","Testar login Jellyfin (plugin LDAP)","ok"
"settings_ldap_test_password","Test password","Senha de teste","ok"
"settings_ldap_test_running","Test in progress...","Teste em andamento...","ok"
"settings_ldap_test_success","Test succeeded","Teste concluido","ok"
"settings_ldap_test_user_btn","Test user lookup","Testar busca de usuario","ok"
"settings_ldap_test_username","Test user identifier","Identificador de usuario de teste","ok"
"settings_ldap_test_username_required","Enter a test user identifier.","Informe um identificador de usuario de teste.","ok"
"settings_ldap_tests_desc","These tests do not save configuration. They validate LDAP connection, user lookup with the configured login attribute, then Jellyfin LDAP plugin authentication.","Esses testes nao salvam a configuracao. Eles validam a conexao LDAP, a busca de usuario com o atributo de login configurado e depois a autenticacao pelo plugin LDAP do Jellyfin.","ok"
"settings_ldap_tests_title","LDAP tests and Jellyfin LDAP plugin","Testes LDAP e plugin LDAP do Jellyfin","ok"
"settings_ldap_title","Active Directory / LDAP","Active Directory / LDAP","untranslated"
"settings_ldap_tls","LDAPS (TLS)","LDAPS (TLS)","untranslated"
"settings_ldap_user_object_class","User objectClass","objectClass de usuario","ok"
"settings_ldap_user_object_class_help","Set to auto for detection, or force values like user, person, inetOrgPerson, posixAccount.","Use auto para deteccao, ou force user, person, inetOrgPerson, posixAccount.","ok"
"settings_ldap_user_ou","User OU","OU de usuarios","ok"
"settings_ldap_username_attr_ad","sAMAccountName (Active Directory)","sAMAccountName (Active Directory)","untranslated"
"settings_ldap_username_attr_auto","Auto-detect (AD/OpenLDAP)","Deteccao automatica (AD/OpenLDAP)","ok"
"settings_ldap_username_attr_cn","cn (common name)","cn (nome comum)","ok"
"settings_ldap_username_attr_uid","uid (OpenLDAP / Synology)","uid (OpenLDAP / Synology)","untranslated"
"settings_ldap_username_attr_upn","userPrincipalName (UPN)","userPrincipalName (UPN)","untranslated"
"settings_ldap_username_attribute","User login attribute","Atributo de login do usuario","ok"
"settings_ldap_username_attribute_help","Pick the LDAP attribute used to identify users (uid on Synology/OpenLDAP, sAMAccountName on Active Directory).","Escolha o atributo LDAP usado para identificar usuarios (uid no Synology/OpenLDAP, sAMAccountName no Active Directory).","ok"
"settings_loading","Loading...","Carregando...","ok"
"settings_matrix_access_token","Access token","Matrix Access Token","ok"
"settings_matrix_homeserver_url","Homeserver URL","Matrix Homeserver Url","ok"
"settings_matrix_room_id","Room ID","Matrix Room Id","ok"
"settings_open_jellyfin","Open Jellyfin","Abrir Jellyfin","ok"
"settings_open_jellygate_public","Open public JellyGate","Abrir JellyGate publico","ok"
"settings_open_jellyseerr","Open Jellyseerr","Abrir Jellyseerr","ok"
"settings_open_jellytrack","Open jellytrack","Abrir jellytrack","ok"
"settings_overview_backup_desc","Plan backups, import archives, and prepare a safe restoration.","Agende backups, importe arquivos e prepare uma restauraÃ§Ã£o segura.","ok"
"settings_overview_desc","Move quickly between language defaults, identity, delivery channels, templates, and recovery workflows.","Alterne rapidamente entre idioma padrÃ£o, identidade, canais de envio, modelos e recuperaÃ§Ã£o.","ok"
"settings_overview_general_desc","Public URLs, default language, and invitation defaults.","URLs pÃºblicas, idioma padrÃ£o e regras bÃ¡sicas de convite.","ok"
"settings_overview_ldap_desc","Directory connection, provisioning mode, groups, and validation tests.","ConexÃ£o com diretÃ³rio, modo de provisionamento, grupos e testes de validaÃ§Ã£o.","ok"
"settings_overview_smtp_desc","Outgoing email transport used for invitations and password recovery.","Transporte de e-mail usado para convites e recuperaÃ§Ã£o de senha.","ok"
"settings_overview_templates_desc","Edit every email scenario and preview the rendered message.","Edite cada cenÃ¡rio de e-mail e confira a prÃ©via renderizada.","ok"
"settings_overview_title","Service control","Central de serviÃ§os","ok"
"settings_overview_webhooks_desc","Discord, Telegram, and Matrix notifications for registration activity.","NotificaÃ§Ãµes de Discord, Telegram e Matrix para novas inscriÃ§Ãµes.","ok"
"settings_password_digit_required","Digit required","Password Digit Required","ok"
"settings_password_lower_required","Lowercase required","Password Lower Required","ok"
"settings_password_special_required","Special character required","Password Special Required","ok"
"settings_password_upper_required","Uppercase required","Password Upper Required","ok"
"settings_port","Port","Porta","ok"
"settings_preset_fallback","Preset","Preset","untranslated"
"settings_preview_button","Preview","Pre-visualizar","ok"
"settings_preview_impossible","Preview unavailable","Pre-visualizacao indisponivel","ok"
"settings_preview_loading","Loading preview...","Carregando pre-visualizacao...","ok"
"settings_public_jellyfin_help","Used in buttons and email templates via","Public Jellyfin Help","ok"
"settings_public_jellyfin_url","Public Jellyfin URL","URL publica do Jellyfin","ok"
"settings_public_jellygate_help","Used for invitation links and templates via","Public Jellygate Help","ok"
"settings_public_jellygate_url","Public JellyGate URL","URL publica do JellyGate","ok"
"settings_public_jellyseerr_help","Available in templates via","Public Jellyseerr Help","ok"
"settings_public_jellyseerr_url","Public Jellyseerr URL","URL publica do Jellyseerr","ok"
"settings_public_jellytrack_help","Available in templates via","Public jellytrack Help","ok"
"settings_public_jellytrack_url","Public jellytrack URL","URL publica do jellytrack","ok"
"settings_quick_links","Quick links","Links rÃ¡pidos","ok"
"settings_save_error","Save failed","Falha ao salvar","ok"
"settings_save_invite_profile","Save invitation profile","Salvar perfil de convite","ok"
"settings_save_ldap","Save LDAP settings","Salvar configuraÃ§Ãµes LDAP","ok"
"settings_save_smtp","Save SMTP","Salvar SMTP","ok"
"settings_save_templates","Save templates","Salvar modelos","ok"
"settings_save_webhooks","Save Webhooks","Salvar webhooks","ok"
"settings_saved","Settings saved","Configuracoes salvas","ok"
"settings_smtp_desc","Configure email sending (invitations, password reset)","Configure o envio de e-mails para convites e redefinicao de senha","ok"
"settings_smtp_from","Sender address *","Smtp From","ok"
"settings_smtp_password","Password *","Smtp Password","ok"
"settings_smtp_starttls","STARTTLS / TLS","Smtp Starttls","ok"
"settings_smtp_title","SMTP server","Servidor SMTP","ok"
"settings_smtp_username","Username *","Smtp Username","ok"
"settings_subheading","Configure external services from this interface","Configure servicos externos por esta interface","ok"
"settings_tab_backup","Backups","Copias de seguranca","ok"
"settings_tab_email_templates","Email Templates","Modelos de e-mail","ok"
"settings_tab_general","General","Geral","ok"
"settings_tab_ldap","LDAP","LDAP","untranslated"
"settings_tab_smtp","SMTP","SMTP","untranslated"
"settings_tab_webhooks","Webhooks","Webhooks","untranslated"
"settings_telegram_bot_token","Bot token","Telegram Bot Token","ok"
"settings_telegram_chat_id","Chat ID","Telegram Chat Id","ok"
"settings_template_empty","Template is empty.","O modelo esta vazio.","ok"
"settings_webhook_url","Webhook URL","URL do webhook","ok"
"settings_webhooks_desc","Receive notifications when a user registers","Receba notificacoes quando um usuario se registrar","ok"
"settings_webhooks_title","Webhook notifications","Notificacoes de webhook","ok"
"settings_zero_no_extra_limit","0 = no extra limit.","Zero No Extra Limit","ok"
"settings_zero_unlimited","0 = unlimited.","Zero Unlimited","ok"
"stat_active_users","Active","Ativos","ok"
"stat_banned_users","Banned","Banidos","ok"
"stat_invitations","Invitations","Convites","ok"
"stat_total_users","Users","Usuarios","ok"
"status_active","Active","Ativo","ok"
"status_banned","Banned","Banido","ok"
"status_inactive","Inactive","Inativo","ok"
"submitting","Creating account...","Criando conta...","ok"
"success","Success","Sucesso","ok"
"users_action_activate","Activate account","Ativar conta","ok"
"users_action_activate_help","Re-enable the selected accounts without changing their other settings.","Reative as contas selecionadas sem alterar as outras configuracoes.","ok"
"users_action_apply_preset","Apply Jellyfin preset","Aplicar preset do Jellyfin","ok"
"users_action_apply_preset_help","Push a predefined Jellyfin policy preset to every selected account.","Envie um preset predefinido de politica do Jellyfin para todas as contas selecionadas.","ok"
"users_action_deactivate","Disable account","Desativar conta","ok"
"users_action_deactivate_help","Temporarily block access for the selected accounts.","Bloqueie temporariamente o acesso das contas selecionadas.","ok"
"users_action_delete","Delete account","Excluir conta","ok"
"users_action_delete_help","Permanently remove the selected accounts from every configured backend.","Remova permanentemente as contas selecionadas de todos os backends configurados.","ok"
"users_action_jellyfin_policy","Adjust Jellyfin policy","Ajustar politica do Jellyfin","ok"
"users_action_jellyfin_policy_help","Override downloads, remote access, sessions, or bitrate limits in bulk.","Altere em lote downloads, acesso remoto, sessoes ou limites de bitrate.","ok"
"users_action_send_email","Send email","Enviar e-mail","ok"
"users_action_send_email_help","Write a one-off message and deliver it to the selected users.","Escreva uma mensagem pontual e entregue-a aos usuarios selecionados.","ok"
"users_action_send_password_reset","Send password reset","Enviar redefinicao de senha","ok"
"users_action_send_password_reset_help","Trigger a password reset email for every selected account.","Dispare um e-mail de redefinicao de senha para cada conta selecionada.","ok"
"users_action_set_expiry","Set access expiry","Definir expiracao de acesso","ok"
"users_action_set_expiry_help","Define or clear the access expiration date on the selected users.","Defina ou limpe a data de expiracao de acesso dos usuarios selecionados.","ok"
"users_action_set_invite","Update invite rights","Atualizar direitos de convite","ok"
"users_action_set_invite_help","Grant or remove invitation rights on the selected accounts.","Conceda ou remova direitos de convite nas contas selecionadas.","ok"
"users_allow_invite","Can invite","Pode convidar","ok"
"users_apply","Apply","Aplicar","ok"
"users_bulk_action_failed","Bulk action failed","Falha na acao em lote","ok"
"users_bulk_action_generic","Bulk action","Acao em lote","ok"
"users_bulk_action_on","for","para","ok"
"users_bulk_action_placeholder","Choose a bulk action","Escolha uma acao em lote","ok"
"users_bulk_assistant_desc","Select the right users first, then configure the action with as little rework as possible.","Selecione primeiro os usuarios certos e depois configure a acao com o minimo de retrabalho.","ok"
"users_bulk_blocked_prefix","Blocked","Bloqueado","ok"
"users_bulk_choose_action","Choose an action","Escolha uma acao","ok"
"users_bulk_complete_required","Complete the required parameters","Preencha os parametros obrigatorios","ok"
"users_bulk_config_ready","Configuration looks valid","A configuracao parece valida","ok"
"users_bulk_confirm_template","{action}`n`nTarget users: {count}`nConfirm execution?","{action}`n`nUsuarios-alvo: {count}`nConfirmar execucao?","ok"
"users_bulk_desc","Select users, choose an action, then validate the required parameters before execution.","Selecione usuÃ¡rios, escolha uma aÃ§Ã£o e valide os parÃ¢metros obrigatÃ³rios antes de executar.","ok"
"users_bulk_done","Action completed: {success}/{total} success","Acao concluida: sucesso {success}/{total}","ok"
"users_bulk_email","Bulk email","E-mail em lote","ok"
"users_bulk_email_body","Message body","Corpo da mensagem","ok"
"users_bulk_email_open","Open the bulk email assistant","Abrir o assistente de e-mail em lote","ok"
"users_bulk_email_subject","Email subject","Assunto do e-mail","ok"
"users_bulk_email_variables","Available variables","Variaveis disponiveis","ok"
"users_bulk_instructions","The assistant prevents incomplete actions before execution. Select users, choose the action, then finish the required fields.","O assistente evita a execucao de acoes incompletas. Selecione usuarios, escolha a acao e depois preencha os campos obrigatorios.","ok"
"users_bulk_jellyfin_invalid","One or more Jellyfin policy values are invalid.","Um ou mais valores da politica do Jellyfin sao invalidos.","ok"
"users_bulk_need_email_body","Enter both the email subject and message body.","Preencha o assunto do e-mail e o corpo da mensagem.","ok"
"users_bulk_need_expiry","Set an expiry date or choose to clear the existing one.","Defina uma data de expiracao ou escolha limpar a data atual.","ok"
"users_bulk_need_jellyfin_param","Change at least one Jellyfin policy setting.","Altere pelo menos uma configuracao da politica do Jellyfin.","ok"
"users_bulk_need_preset","Choose a Jellyfin preset before continuing.","Escolha um preset do Jellyfin antes de continuar.","ok"
"users_bulk_no_extra_params","This action does not need extra parameters.","Esta acao nao precisa de parametros extras.","ok"
"users_bulk_none","none","nenhum","ok"
"users_bulk_ready_suffix","ready to apply","pronto para aplicar","ok"
"users_bulk_select_one","Select at least one user.","Selecione pelo menos um usuario.","ok"
"users_bulk_select_preset","Choose a preset","Escolha um preset","ok"
"users_bulk_selected_suffix","users selected","usuarios selecionados","ok"
"users_bulk_step_action","Choose action","Escolher acao","ok"
"users_bulk_step_select","Select users","Selecionar usuarios","ok"
"users_bulk_step_verify","Validate config","Validar configuracao","ok"
"users_bulk_summary_placeholder","Your action summary will appear here.","O resumo da acao aparecera aqui.","ok"
"users_bulk_title","Bulk assistant","Assistente em lote","ok"
"users_bulk_valid_prefix","Valid","Valido","ok"
"users_clear_expiry","Clear expiry","Limpar expiracao","ok"
"users_close","Close","Fechar","ok"
"users_col_expiry","Expiry","Expiracao","ok"
"users_col_group","Group","Grupo","ok"
"users_col_invite","Invite","Convite","ok"
"users_delete_confirm","Delete permanently","Excluir permanentemente","ok"
"users_delete_confirm_template","User ""{username}"" will be deleted from AD, Jellyfin, and the local database. This action is irreversible.","O usuario ""{username}"" sera excluido do AD, do Jellyfin e do banco de dados local. Esta acao e irreversivel.","ok"
"users_delete_confirm_title","Confirm deletion","Confirmar exclusao","ok"
"users_delete_error","Unable to delete this user.","Nao foi possivel excluir este usuario.","ok"
"users_delete_title","Delete user","Excluir usuario","ok"
"users_deleted","User deleted","Usuario excluido","ok"
"users_displayed_count","displayed /","exibidos /","ok"
"users_edit","Edit","Editar","ok"
"users_edit_title","Edit account","Editar conta","ok"
"users_filter_expiry_active","With expiry date","Com data de expiracao","ok"
"users_filter_expiry_expired","Already expired","Ja expirado","ok"
"users_filter_expiry_none","No expiry date","Sem data de expiracao","ok"
"users_filter_extra_all","Any extra signal","Qualquer sinal extra","ok"
"users_filter_invite_all","Any invite state","Qualquer estado de convite","ok"
"users_filter_invite_disabled","Invite disabled","Convite desativado","ok"
"users_filter_invite_enabled","Invite enabled","Convite ativado","ok"
"users_filter_jellyfin_all","Any Jellyfin state","Qualquer estado do Jellyfin","ok"
"users_filter_jellyfin_disabled","Jellyfin disabled","Jellyfin desativado","ok"
"users_filter_jellyfin_missing","Missing in Jellyfin","Ausente no Jellyfin","ok"
"users_filter_jellyfin_ok","Healthy in Jellyfin","Saudavel no Jellyfin","ok"
"users_filter_status_all","Any account status","Qualquer status da conta","ok"
"users_filter_with_email","Has email address","Tem endereco de e-mail","ok"
"users_filter_without_email","No email address","Sem endereco de e-mail","ok"
"users_filters_clear","Clear filters","Limpar filtros","ok"
"users_filters_desc","Combine search, state, Jellyfin sync, invitation rights, and expiry signals.","Combine busca, status, sincronizaÃ§Ã£o com Jellyfin, permissÃµes de convite e sinais de expiraÃ§Ã£o.","ok"
"users_filters_none","No active filters.","Nenhum filtro ativo.","ok"
"users_filters_title","Find the right accounts","Encontre as contas certas","ok"
"users_heading","User Management","Gestao de usuarios","ok"
"users_jellyfin_disabled","Jellyfin disabled","Jellyfin desativado","ok"
"users_jellyfin_missing","Jellyfin missing","Ausente no Jellyfin","ok"
"users_jf_bitrate_placeholder","Remote bitrate limit (kbps)","Limite de bitrate remoto (kbps)","ok"
"users_jf_download_allowed","Downloads allowed","Downloads permitidos","ok"
"users_jf_download_blocked","Downloads blocked","Downloads bloqueados","ok"
"users_jf_download_unchanged","Keep current download policy","Manter a politica atual de downloads","ok"
"users_jf_remote_allowed","Remote access allowed","Acesso remoto permitido","ok"
"users_jf_remote_blocked","Remote access blocked","Acesso remoto bloqueado","ok"
"users_jf_remote_unchanged","Keep current remote policy","Manter a politica atual de acesso remoto","ok"
"users_jf_sessions_placeholder","Max active sessions","Maximo de sessoes ativas","ok"
"users_live_filters_desc","See the active constraints before applying a bulk action.","Veja as restricoes ativas antes de aplicar uma acao em lote.","ok"
"users_live_filters_title","Filter snapshot","Resumo dos filtros","ok"
"users_load_error","Unable to load users","Nao foi possivel carregar os usuarios","ok"
"users_load_error_details","The users list could not be loaded.","Nao foi possivel carregar a lista de usuarios.","ok"
"users_no","No","Nao","ok"
"users_no_filter_match","No account matches the current filters.","Nenhuma conta corresponde aos filtros atuais.","ok"
"users_no_local","No local accounts found yet.","Nenhuma conta local encontrada ainda.","ok"
"users_overview_expiring","Expired access","Acessos expirados","ok"
"users_overview_filtered","Visible now","VisÃ­veis agora","ok"
"users_overview_inviters","Can invite","Podem convidar","ok"
"users_overview_total","Total accounts","Total de contas","ok"
"users_reset","Reset","Redefinir","ok"
"users_reset_error","Unable to send the password reset message.","Nao foi possivel enviar a mensagem de redefinicao de senha.","ok"
"users_reset_sent","Password reset link sent to {username}","Link de redefinicao de senha enviado para {username}","ok"
"users_search_placeholder","Search...","Buscar...","ok"
"users_segment_access","Access policy","PolÃ­tica de acesso","ok"
"users_segment_accounts","Account state","Estado da conta","ok"
"users_segment_delivery","Communication","ComunicaÃ§Ã£o","ok"
"users_select_filtered","Select filtered","Selecionar filtrados","ok"
"users_selection_clear","Clear selection","Limpar selecao","ok"
"users_selection_desc","Review the exact accounts that will be affected next.","Revise exatamente quais contas serao afetadas em seguida.","ok"
"users_selection_empty","No users selected yet.","Nenhum usuario selecionado ainda.","ok"
"users_selection_more","+{count} more","+{count} mais","ok"
"users_selection_title","Selection snapshot","Resumo da selecao","ok"
"users_subheading","Manage accounts, enable or delete users","Gerencie contas, habilite ou exclua usuarios","ok"
"users_subheading_extended","Manage local accounts, Jellyfin sync state, invitation rights, and expiry rules from one control room.","Gerencie contas locais, status de sincronizaÃ§Ã£o com o Jellyfin, permissÃµes de convite e regras de expiraÃ§Ã£o em uma Ãºnica central.","ok"
"users_sync_confirm","Launch a synchronization against Jellyfin now?","Iniciar uma sincronizacao com o Jellyfin agora?","ok"
"users_sync_done","Jellyfin sync completed","Sincronizacao com o Jellyfin concluida","ok"
"users_sync_error","Jellyfin sync failed","Falha na sincronizacao com o Jellyfin","ok"
"users_sync_jellyfin","Sync Jellyfin","Sincronizar Jellyfin","ok"
"users_sync_jellyfin_title","Refresh local data from Jellyfin","Atualizar dados locais a partir do Jellyfin","ok"
