key,english,es,status
"settings_email_base_preview_desc","This preview shows the shared shell with a simple message and the standard automatic blocks.","This preview shows the shared shell with a simple message and the standard automatic blocks.","untranslated"
"settings_email_base_restore","Restore default base","Restore default base","untranslated"
"settings_email_base_title","Shared base template","Shared base template","untranslated"
"settings_email_base_variables_title","Advanced variables for the base template","Advanced variables for the base template","untranslated"
"settings_email_body_mode_desc","The editors below are no-code: plain text only, with support for variables such as {{.Username}}, {{.Email}}, or {{.ExpiryDate}}. Buttons, links, and system dates are added automatically in the final render.","The message editors below are no-code: plain text only. Buttons, links, and system dates are added automatically in the final render.","ok"
"settings_email_body_mode_title","Simple messages without markup","Simple messages without markup","untranslated"
"settings_email_delivery_desc","Enable only the emails or sections that JellyGate should send automatically.","Activa solo los correos o bloques que JellyGate debe enviar automaticamente.","ok"
"settings_email_delivery_title","Optional messages","Mensajes opcionales","ok"
"settings_email_preview_close_aria","Close preview","Email Preview Close Aria","ok"
"settings_email_preview_desc","Preview the final render with the shared email wrapper and demonstration values.","Email Preview Desc","ok"
"settings_email_preview_title","Email template preview","Email Preview Title","ok"
"settings_email_reminder_days","N days before expiry","Email Reminder Days","ok"
"settings_email_reminder_schedule_desc","Define how many days before expiration an automatic reminder is sent.","Email Reminder Schedule Desc","ok"
"settings_email_reminder_schedule_title","Expiry reminder schedule","Email Reminder Schedule Title","ok"
"settings_email_section_lifecycle","Account lifecycle","Ciclo de vida de la cuenta","ok"
"settings_email_section_onboarding","Signup and invitations","Registro e invitaciones","ok"
"settings_email_section_security","Security and recovery","Seguridad y recuperacion","ok"
"settings_email_templates_desc","Write only the message content. JellyGate automatically inserts it into the shared email wrapper, and you can personalize the text with the available variables.","Edita solo los mensajes que realmente uses. Las secciones de la derecha mantienen la pagina clara.","ok"
"settings_email_templates_title","Email templates","Plantillas de correo","ok"
"settings_email_tpl_confirmation","Confirmation email","Correo de confirmacion","ok"
"settings_email_tpl_confirmation_desc","Sent to confirm signup.","Email Tpl Confirmation Desc","ok"
"settings_email_tpl_email_verification","Email verification","Verificacion de correo","ok"
"settings_email_tpl_email_verification_desc","Sent to confirm a new or existing email address before account recovery and notifications.","Se envia para confirmar una direccion de correo nueva o existente antes de la recuperacion de cuenta y las notificaciones.","ok"
"settings_email_tpl_email_verification_subject","Email verification subject","Asunto de verificacion de correo","ok"
"settings_email_tpl_email_verification_subject_desc","Subject line for email verification messages. Variables are supported.","Asunto de los correos de verificacion. Se admiten variables.","ok"
"settings_email_tpl_expiry_adjusted","Expiry adjusted","Expiracion actualizada","ok"
"settings_email_tpl_expiry_adjusted_desc","Sent when account expiry date is modified.","Email Tpl Expiry Adjusted Desc","ok"
"settings_email_tpl_expiry_reminder","Expiry reminder","Recordatorio de expiracion","ok"
"settings_email_tpl_expiry_reminder_1","Expiry reminder D-1","Recordatorio de expiracion D-1","ok"
"settings_email_tpl_expiry_reminder_14","Expiry reminder D-14","Recordatorio de expiracion D-14","ok"
"settings_email_tpl_expiry_reminder_14_desc","Template sent 14 days before expiration.","Email Tpl Expiry Reminder 14 Desc","ok"
"settings_email_tpl_expiry_reminder_1_desc","Template sent 1 day before expiration.","Email Tpl Expiry Reminder 1 Desc","ok"
"settings_email_tpl_expiry_reminder_7","Expiry reminder D-7","Recordatorio de expiracion D-7","ok"
"settings_email_tpl_expiry_reminder_7_desc","Template sent 7 days before expiration.","Email Tpl Expiry Reminder 7 Desc","ok"
"settings_email_tpl_expiry_reminder_desc","Automatic notification before account expiry.","Email Tpl Expiry Reminder Desc","ok"
"settings_email_tpl_invitation","Invitation email","Correo de invitacion","ok"
"settings_email_tpl_invitation_desc","Main message guiding users to Jellyfin access.","Email Tpl Invitation Desc","ok"
"settings_email_tpl_invite_expiry","Invitation expiry","Vencimiento de invitacion","ok"
"settings_email_tpl_invite_expiry_desc","Reminder that an invitation link will expire soon.","Email Tpl Invite Expiry Desc","ok"
"settings_email_tpl_password_reset","Password reset","Restablecimiento de contrasena","ok"
"settings_email_tpl_password_reset_desc","Contains reset link/code sent to user.","Email Tpl Password Reset Desc","ok"
"settings_email_tpl_post_signup_help","Post-signup help","Ayuda despues del registro","ok"
"settings_email_tpl_post_signup_help_desc","Instructions after account creation.","Email Tpl Post Signup Help Desc","ok"
"settings_email_tpl_pre_signup_help","Pre-signup help","Ayuda antes del registro","ok"
"settings_email_tpl_pre_signup_help_desc","Guidance before creating the account.","Email Tpl Pre Signup Help Desc","ok"
"settings_email_tpl_user_creation","User creation","Cuenta creada","ok"
"settings_email_tpl_user_creation_desc","Confirms account creation by an administrator.","Email Tpl User Creation Desc","ok"
"settings_email_tpl_user_deletion","User deletion","Cuenta eliminada","ok"
"settings_email_tpl_user_deletion_desc","Notification that an account was deleted.","Email Tpl User Deletion Desc","ok"
"settings_email_tpl_user_deletion_disable_notice","Do not send this email on user deletion","Email Tpl User Deletion Disable Notice","ok"
"settings_email_tpl_user_disabled","User disabled","Cuenta desactivada","ok"
"settings_email_tpl_user_disabled_desc","Sent when an account is disabled.","Email Tpl User Disabled Desc","ok"
"settings_email_tpl_user_enabled","User enabled","Cuenta reactivada","ok"
"settings_email_tpl_user_enabled_desc","Sent when an account is re-enabled.","Email Tpl User Enabled Desc","ok"
"settings_email_tpl_user_expired","User expired","Cuenta expirada","ok"
"settings_email_tpl_user_expired_desc","Sent when an account expires automatically.","Email Tpl User Expired Desc","ok"
"settings_email_tpl_welcome","Welcome","Bienvenida","ok"
"settings_email_tpl_welcome_desc","Global post-signup welcome message.","Email Tpl Welcome Desc","ok"
"settings_email_var_email","email address","Email Var Email","ok"
"settings_email_var_expires_in","validity duration","Email Var Expires In","ok"
"settings_email_var_expiry_date","expiry date","Email Var Expiry Date","ok"
"settings_email_var_help_url","support / onboarding URL","Email Var Help Url","ok"
"settings_email_var_invite_code","invitation code","Email Var Invite Code","ok"
"settings_email_var_invite_link","invitation link","Email Var Invite Link","ok"
"settings_email_var_jellyfin_url","Jellyfin login URL","Email Var Jellyfin Url","ok"
"settings_email_var_jellygate_url","public JellyGate URL","Email Var Jellygate Url","ok"
"settings_email_var_jellyseerr_url","Jellyseerr URL","Email Var Jellyseerr Url","ok"
"settings_email_var_message","custom message (admin invitation)","Email Var Message","ok"
"settings_email_var_reset_code","reset code","Email Var Reset Code","ok"
"settings_email_var_reset_link","reset link","Email Var Reset Link","ok"
"settings_email_var_username","username","Email Var Username","ok"
"settings_email_var_verification_code","email verification code","codigo de verificacion de correo","ok"
"settings_email_var_verification_link","email verification link","enlace de verificacion de correo","ok"
"settings_email_variable_insert","Insert","Insertar","ok"
"settings_email_variable_picker_label","Variable to insert","Variable para insertar","ok"
"settings_email_variable_picker_placeholder","Choose a variable","Elegir una variable","ok"
"settings_email_variables_title","Available variables","Email Variables Title","ok"
"settings_expiry_action_delete","Delete","Expiry Action Delete","ok"
"settings_expiry_action_disable","Disable","Expiry Action Disable","ok"
"settings_expiry_action_disable_then_delete","Disable then delete","Expiry Action Disable Then Delete","ok"
"settings_general_desc","Configure JellyGate global settings","Configura los ajustes globales de JellyGate","ok"
"settings_general_title","General Settings","Configuracion general","ok"
"settings_host_required","Host *","Servidor *","ok"
"settings_invite_allow_inviter_grant","Allow inviters to let the new account create invitations","Allow inviters to let the new account create invitations","untranslated"
"settings_invite_allow_inviter_user_expiry","Allow inviters to customize user expiry","Invite Allow Inviter User Expiry","ok"
"settings_invite_delete_after_days","Delete account after (days)","Invite Delete After Days","ok"
"settings_invite_disable_after_days","Disable account after (days)","Invite Disable After Days","ok"
"settings_invite_enable_downloads","Allow direct downloads","Invite Enable Downloads","ok"
"settings_invite_expiry_action","Action on expiry","Invite Expiry Action","ok"
"settings_invite_inviter_max_link_hours","Max link TTL (hours, non-admin inviters)","Invite Inviter Max Link Hours","ok"
"settings_invite_inviter_max_uses","Max uses (non-admin inviters)","Invite Inviter Max Uses","ok"
"settings_invite_inviter_quota_day","Invite links quota / day (inviter)","Invite Inviter Quota Day","ok"
"settings_invite_inviter_quota_month","Invite links quota / month (inviter)","Invite Inviter Quota Month","ok"
"settings_invite_inviter_quota_week","Invite links quota / week (inviter)","Invite Inviter Quota Week","ok"
"settings_invite_password_max","Password max","Invite Password Max","ok"
"settings_invite_password_min","Password min","Invite Password Min","ok"
"settings_invite_profile_clone_user","Clone Jellyfin profile","Invite Profile Clone User","ok"
"settings_invite_profile_desc","These rules are automatically applied to each new invitation. Non-admin users cannot modify them from invitation creation.","Invite Profile Desc","ok"
"settings_invite_profile_preset","Jellyfin preset","Invite Profile Preset","ok"
"settings_invite_profile_title","Invitation profile","Invite Profile Title","ok"
"settings_invite_require_email","Email required at signup","Correo obligatorio al registrarse","ok"
"settings_invite_require_email_verification","Verify email before account creation","Verificar el correo antes de crear la cuenta","ok"
"settings_invite_username_max","Username max","Invite Username Max","ok"
"settings_invite_username_min","Username min","Invite Username Min","ok"
"settings_ldap_base_dn","Base DN *","DN base *","ok"
"settings_ldap_bind_dn","Bind DN *","DN de enlace *","ok"
"settings_ldap_bind_password","Bind password *","Contrasena de enlace *","ok"
"settings_ldap_desc","Connect JellyGate to your directory via LDAP/LDAPS","Conecta JellyGate a tu directorio mediante LDAP o LDAPS","ok"
"settings_ldap_domain","AD domain *","Dominio AD *","ok"
"settings_ldap_group_admin","LDAP administrators group","Grupo LDAP de administradores","ok"
"settings_ldap_group_admin_help","This group targets full-control accounts.","Este grupo se usa para cuentas con control total.","ok"
"settings_ldap_group_inviter","LDAP inviter group","Grupo LDAP de invitadores","ok"
"settings_ldap_group_inviter_help","This group grants normal access and invite rights.","Este grupo otorga acceso normal y permiso para invitar.","ok"
"settings_ldap_group_member_attr","Group member attribute","Atributo miembro de grupo","ok"
"settings_ldap_group_member_attr_help","Set to member (AD/groupOfNames) or memberUid (posixGroup).","Usa member (AD/groupOfNames) o memberUid (posixGroup).","ok"
"settings_ldap_group_users","LDAP users group","Grupo LDAP de usuarios","ok"
"settings_ldap_group_users_help","Automatically assigned to standard users.","Se asigna automaticamente a usuarios estandar.","ok"
"settings_ldap_mode_hybrid","Hybrid (LDAP + Jellyfin)","Hibrido (LDAP + Jellyfin)","ok"
"settings_ldap_mode_ldap_only","LDAP only (no Jellyfin API user creation)","Solo LDAP (sin creacion de usuarios por API de Jellyfin)","ok"
"settings_ldap_provision_mode","Provisioning mode","Modo de aprovisionamiento","ok"
"settings_ldap_skip_verify","Skip TLS certificate verification","Omitir verificacion del certificado TLS","ok"
"settings_ldap_test_connection_btn","Test LDAP connection","Probar conexion LDAP","ok"
"settings_ldap_test_credentials_required","Enter test username and password for Jellyfin LDAP plugin validation.","Introduce usuario y contrasena de prueba para validar el plugin LDAP de Jellyfin.","ok"
"settings_ldap_test_failed","Test failed","Prueba fallida","ok"
"settings_ldap_test_jellyfin_btn","Test Jellyfin login (LDAP plugin)","Probar inicio de sesion en Jellyfin (plugin LDAP)","ok"
"settings_ldap_test_password","Test password","Contrasena de prueba","ok"
"settings_ldap_test_running","Test in progress...","Prueba en curso...","ok"
"settings_ldap_test_success","Test succeeded","Prueba correcta","ok"
"settings_ldap_test_user_btn","Test user lookup","Probar busqueda de usuario","ok"
"settings_ldap_test_username","Test user identifier","Identificador de usuario de prueba","ok"
"settings_ldap_test_username_required","Enter a test user identifier.","Introduce un identificador de usuario de prueba.","ok"
"settings_ldap_tests_desc","These tests do not save configuration. They validate LDAP connection, user lookup with the configured login attribute, then Jellyfin LDAP plugin authentication.","Estas pruebas no guardan la configuracion. Validan la conexion LDAP, la busqueda de usuario con el atributo de login configurado y luego la autenticacion mediante el plugin LDAP de Jellyfin.","ok"
"settings_ldap_tests_title","LDAP tests and Jellyfin LDAP plugin","Pruebas LDAP y plugin LDAP de Jellyfin","ok"
"settings_ldap_title","Active Directory / LDAP","Active Directory / LDAP","untranslated"
"settings_ldap_tls","LDAPS (TLS)","LDAPS (TLS)","untranslated"
"settings_ldap_user_object_class","User objectClass","objectClass de usuario","ok"
"settings_ldap_user_object_class_help","Set to auto for detection, or force values like user, person, inetOrgPerson, posixAccount.","Usa auto para deteccion o fuerza user, person, inetOrgPerson, posixAccount.","ok"
"settings_ldap_user_ou","User OU","OU de usuarios","ok"
"settings_ldap_username_attr_ad","sAMAccountName (Active Directory)","sAMAccountName (Active Directory)","untranslated"
"settings_ldap_username_attr_auto","Auto-detect (AD/OpenLDAP)","Deteccion automatica (AD/OpenLDAP)","ok"
"settings_ldap_username_attr_cn","cn (common name)","cn (nombre comun)","ok"
"settings_ldap_username_attr_uid","uid (OpenLDAP / Synology)","uid (OpenLDAP / Synology)","untranslated"
"settings_ldap_username_attr_upn","userPrincipalName (UPN)","userPrincipalName (UPN)","untranslated"
"settings_ldap_username_attribute","User login attribute","Atributo de inicio de sesion","ok"
"settings_ldap_username_attribute_help","Pick the LDAP attribute used to identify users (uid on Synology/OpenLDAP, sAMAccountName on Active Directory).","Elige el atributo LDAP usado para identificar usuarios (uid en Synology/OpenLDAP, sAMAccountName en Active Directory).","ok"
"settings_loading","Loading...","Cargando...","ok"
"settings_matrix_access_token","Access token","Matrix Access Token","ok"
"settings_matrix_homeserver_url","Homeserver URL","Matrix Homeserver Url","ok"
"settings_matrix_room_id","Room ID","Matrix Room Id","ok"
"settings_open_jellyfin","Open Jellyfin","Abrir Jellyfin","ok"
"settings_open_jellygate_public","Open public JellyGate","Abrir JellyGate publico","ok"
"settings_open_jellyseerr","Open Jellyseerr","Abrir Jellyseerr","ok"
"settings_open_jellytrack","Open jellytrack","Abrir jellytrack","ok"
"settings_overview_backup_desc","Plan backups, import archives, and prepare a safe restoration.","Programa copias de seguridad, importa archivos y prepara una restauraciÃ³n segura.","ok"
"settings_overview_desc","Move quickly between language defaults, identity, delivery channels, templates, and recovery workflows.","Cambia rÃ¡pidamente entre idioma predeterminado, identidad, canales de envÃ­o, plantillas y recuperaciÃ³n.","ok"
"settings_overview_general_desc","Public URLs, default language, and invitation defaults.","URLs pÃºblicas, idioma predeterminado y reglas base de invitaciÃ³n.","ok"
"settings_overview_ldap_desc","Directory connection, provisioning mode, groups, and validation tests.","ConexiÃ³n al directorio, modo de aprovisionamiento, grupos y pruebas de validaciÃ³n.","ok"
"settings_overview_smtp_desc","Outgoing email transport used for invitations and password recovery.","Transporte de correo para invitaciones y recuperaciÃ³n de contraseÃ±a.","ok"
"settings_overview_templates_desc","Edit every email scenario and preview the rendered message.","Edita cada escenario de correo y revisa la vista previa renderizada.","ok"
"settings_overview_title","Service control","Centro de servicios","ok"
"settings_overview_webhooks_desc","Discord, Telegram, and Matrix notifications for registration activity.","Notificaciones de Discord, Telegram y Matrix para nuevas inscripciones.","ok"
"settings_password_digit_required","Digit required","Password Digit Required","ok"
"settings_password_lower_required","Lowercase required","Password Lower Required","ok"
"settings_password_special_required","Special character required","Password Special Required","ok"
"settings_password_upper_required","Uppercase required","Password Upper Required","ok"
"settings_port","Port","Puerto","ok"
"settings_preset_fallback","Preset","Preajuste","ok"
"settings_preview_button","Preview","Vista previa","ok"
"settings_preview_impossible","Preview unavailable","Vista previa no disponible","ok"
"settings_preview_loading","Loading preview...","Cargando vista previa...","ok"
"settings_public_jellyfin_help","Used in buttons and email templates via","Public Jellyfin Help","ok"
"settings_public_jellyfin_url","Public Jellyfin URL","URL publica de Jellyfin","ok"
"settings_public_jellygate_help","Used for invitation links and templates via","Public Jellygate Help","ok"
"settings_public_jellygate_url","Public JellyGate URL","URL publica de JellyGate","ok"
"settings_public_jellyseerr_help","Available in templates via","Public Jellyseerr Help","ok"
"settings_public_jellyseerr_url","Public Jellyseerr URL","URL publica de Jellyseerr","ok"
"settings_public_jellytrack_help","Available in templates via","Public jellytrack Help","ok"
"settings_public_jellytrack_url","Public jellytrack URL","URL publica de jellytrack","ok"
"settings_quick_links","Quick links","Accesos rÃ¡pidos","ok"
"settings_save_error","Save failed","Error al guardar","ok"
"settings_save_invite_profile","Save invitation profile","Guardar perfil de invitacion","ok"
"settings_save_ldap","Save LDAP settings","Guardar configuraciÃ³n LDAP","ok"
"settings_save_smtp","Save SMTP","Guardar SMTP","ok"
"settings_save_templates","Save templates","Guardar plantillas","ok"
"settings_save_webhooks","Save Webhooks","Guardar webhooks","ok"
"settings_saved","Settings saved","Configuracion guardada","ok"
"settings_smtp_desc","Configure email sending (invitations, password reset)","Configura el envio de correos para invitaciones y restablecimiento de contrasena","ok"
"settings_smtp_from","Sender address *","Smtp From","ok"
"settings_smtp_password","Password *","Smtp Password","ok"
"settings_smtp_starttls","STARTTLS / TLS","Smtp Starttls","ok"
"settings_smtp_title","SMTP server","Servidor SMTP","ok"
"settings_smtp_username","Username *","Smtp Username","ok"
"settings_subheading","Configure external services from this interface","Configura los servicios externos desde esta interfaz","ok"
"settings_tab_backup","Backups","Copias de seguridad","ok"
"settings_tab_email_templates","Email Templates","Plantillas de correo","ok"
"settings_tab_general","General","General","untranslated"
"settings_tab_ldap","LDAP","LDAP","untranslated"
"settings_tab_smtp","SMTP","SMTP","untranslated"
"settings_tab_webhooks","Webhooks","Webhooks","untranslated"
"settings_telegram_bot_token","Bot token","Telegram Bot Token","ok"
"settings_telegram_chat_id","Chat ID","Telegram Chat Id","ok"
"settings_template_empty","Template is empty.","La plantilla esta vacia.","ok"
"settings_webhook_url","Webhook URL","URL del webhook","ok"
"settings_webhooks_desc","Receive notifications when a user registers","Recibe notificaciones cuando un usuario se registra","ok"
"settings_webhooks_title","Webhook notifications","Notificaciones por webhook","ok"
"settings_zero_no_extra_limit","0 = no extra limit.","Zero No Extra Limit","ok"
"settings_zero_unlimited","0 = unlimited.","Zero Unlimited","ok"
"stat_active_users","Active","Activos","ok"
"stat_banned_users","Banned","Bloqueados","ok"
"stat_invitations","Invitations","Invitaciones","ok"
"stat_total_users","Users","Usuarios","ok"
"status_active","Active","Activo","ok"
"status_banned","Banned","Bloqueado","ok"
"status_inactive","Inactive","Inactivo","ok"
"submitting","Creating account...","Creando cuenta...","ok"
"success","Success","Exito","ok"
"users_action_activate","Activate account","Activar cuenta","ok"
"users_action_activate_help","Re-enable the selected accounts without changing their other settings.","Vuelve a activar las cuentas seleccionadas sin cambiar el resto de sus ajustes.","ok"
"users_action_apply_preset","Apply Jellyfin preset","Aplicar preset de Jellyfin","ok"
"users_action_apply_preset_help","Push a predefined Jellyfin policy preset to every selected account.","Aplica una polÃ­tica predefinida de Jellyfin a todas las cuentas seleccionadas.","ok"
"users_action_deactivate","Disable account","Desactivar cuenta","ok"
"users_action_deactivate_help","Temporarily block access for the selected accounts.","Bloquea temporalmente el acceso de las cuentas seleccionadas.","ok"
"users_action_delete","Delete account","Eliminar cuenta","ok"
"users_action_delete_help","Permanently remove the selected accounts from every configured backend.","Elimina definitivamente las cuentas seleccionadas de todos los backends configurados.","ok"
"users_action_jellyfin_policy","Adjust Jellyfin policy","Ajustar polÃ­tica de Jellyfin","ok"
"users_action_jellyfin_policy_help","Override downloads, remote access, sessions, or bitrate limits in bulk.","Modifica en lote descargas, acceso remoto, sesiones o lÃ­mites de bitrate.","ok"
"users_action_send_email","Send email","Enviar correo","ok"
"users_action_send_email_help","Write a one-off message and deliver it to the selected users.","Redacta un mensaje puntual y envÃ­alo a los usuarios seleccionados.","ok"
"users_action_send_password_reset","Send password reset","Enviar restablecimiento de contraseÃ±a","ok"
"users_action_send_password_reset_help","Trigger a password reset email for every selected account.","Dispara un correo de restablecimiento para cada cuenta seleccionada.","ok"
"users_action_set_expiry","Set access expiry","Definir caducidad","ok"
"users_action_set_expiry_help","Define or clear the access expiration date on the selected users.","Configura o limpia la fecha de expiraciÃ³n de acceso de los usuarios seleccionados.","ok"
"users_action_set_invite","Update invite rights","Actualizar permisos de invitaciÃ³n","ok"
"users_action_set_invite_help","Grant or remove invitation rights on the selected accounts.","Concede o retira permisos de invitaciÃ³n a las cuentas seleccionadas.","ok"
"users_allow_invite","Can invite","Puede invitar","ok"
"users_apply","Apply","Aplicar","ok"
"users_bulk_action_failed","Bulk action failed","La accion masiva fallo","ok"
"users_bulk_action_generic","Bulk action","AcciÃ³n en lote","ok"
"users_bulk_action_on","for","para","ok"
"users_bulk_action_placeholder","Choose a bulk action","Elige una acciÃ³n en lote","ok"
"users_bulk_assistant_desc","Select the right users first, then configure the action with as little rework as possible.","Selecciona primero los usuarios adecuados y configura despuÃ©s la acciÃ³n con el menor riesgo de error.","ok"
"users_bulk_blocked_prefix","Blocked","Bloqueado","ok"
"users_bulk_choose_action","Choose an action","Elegir acciÃ³n","ok"
"users_bulk_complete_required","Complete the required parameters","Completa los campos obligatorios","ok"
"users_bulk_config_ready","Configuration looks valid","La configuraciÃ³n es vÃ¡lida","ok"
"users_bulk_confirm_template","{action}`n`nTarget users: {count}`nConfirm execution?","{action}`n`nUsuarios objetivo: {count}`nConfirmar ejecucion?","ok"
"users_bulk_desc","Select users, choose an action, then validate the required parameters before execution.","Selecciona usuarios, elige una acciÃ³n y valida los parÃ¡metros obligatorios antes de ejecutar.","ok"
"users_bulk_done","Action completed: {success}/{total} success","Accion completada: {success}/{total} correctas","ok"
"users_bulk_email","Bulk email","Correo masivo","ok"
"users_bulk_email_body","Message body","Cuerpo del mensaje","ok"
"users_bulk_email_open","Open the bulk email assistant","Abrir el asistente de correo masivo","ok"
"users_bulk_email_subject","Email subject","Asunto del correo","ok"
"users_bulk_email_variables","Available variables","Variables disponibles","ok"
"users_bulk_instructions","The assistant prevents incomplete actions before execution. Select users, choose the action, then finish the required fields.","El asistente evita acciones incompletas antes de ejecutarlas. Selecciona usuarios, elige la acciÃ³n y completa los campos requeridos.","ok"
"users_bulk_jellyfin_invalid","One or more Jellyfin policy values are invalid.","Uno o varios valores de la polÃ­tica de Jellyfin no son vÃ¡lidos.","ok"
"users_bulk_need_email_body","Enter both the email subject and message body.","Debes indicar tanto el asunto como el contenido del mensaje.","ok"
"users_bulk_need_expiry","Set an expiry date or choose to clear the existing one.","Define una fecha de expiraciÃ³n o elige borrar la existente.","ok"
"users_bulk_need_jellyfin_param","Change at least one Jellyfin policy setting.","Cambia al menos un parÃ¡metro de la polÃ­tica de Jellyfin.","ok"
"users_bulk_need_preset","Choose a Jellyfin preset before continuing.","Elige un preset de Jellyfin antes de continuar.","ok"
"users_bulk_no_extra_params","This action does not need extra parameters.","Esta acciÃ³n no requiere parÃ¡metros adicionales.","ok"
"users_bulk_none","none","ninguno","ok"
"users_bulk_ready_suffix","ready to apply","listo para aplicar","ok"
"users_bulk_select_one","Select at least one user.","Selecciona al menos un usuario.","ok"
"users_bulk_select_preset","Choose a preset","Elegir preset","ok"
"users_bulk_selected_suffix","users selected","usuarios seleccionados","ok"
"users_bulk_step_action","Choose action","Elegir acciÃ³n","ok"
"users_bulk_step_select","Select users","Seleccionar usuarios","ok"
"users_bulk_step_verify","Validate config","Validar configuraciÃ³n","ok"
"users_bulk_summary_placeholder","Your action summary will appear here.","AquÃ­ aparecerÃ¡ el resumen de la acciÃ³n.","ok"
"users_bulk_title","Bulk assistant","Asistente en lote","ok"
"users_bulk_valid_prefix","Valid","Valido","ok"
"users_clear_expiry","Clear expiry","Quitar vencimiento","ok"
"users_close","Close","Cerrar","ok"
"users_col_expiry","Expiry","Caducidad","ok"
"users_col_group","Group","Grupo","ok"
"users_col_invite","Invite","InvitaciÃ³n","ok"
"users_delete_confirm","Delete permanently","Eliminar definitivamente","ok"
"users_delete_confirm_template","User ""{username}"" will be deleted from AD, Jellyfin, and the local database. This action is irreversible.","El usuario ""{username}"" se eliminara de AD, Jellyfin y de la base de datos local. Esta accion es irreversible.","ok"
"users_delete_confirm_title","Confirm deletion","Confirmar eliminacion","ok"
"users_delete_error","Unable to delete this user.","No se pudo eliminar el usuario.","ok"
"users_delete_title","Delete user","Eliminar usuario","ok"
"users_deleted","User deleted","Usuario eliminado","ok"
"users_displayed_count","displayed /","mostrados /","ok"
"users_edit","Edit","Editar","ok"
"users_edit_title","Edit account","Editar cuenta","ok"
"users_filter_expiry_active","With expiry date","Con fecha de caducidad","ok"
"users_filter_expiry_expired","Already expired","Ya caducadas","ok"
"users_filter_expiry_none","No expiry date","Sin fecha de caducidad","ok"
"users_filter_extra_all","Any extra signal","Cualquier seÃ±al adicional","ok"
"users_filter_invite_all","Any invite state","Cualquier estado de invitaciÃ³n","ok"
"users_filter_invite_disabled","Invite disabled","InvitaciÃ³n desactivada","ok"
"users_filter_invite_enabled","Invite enabled","InvitaciÃ³n activada","ok"
"users_filter_jellyfin_all","Any Jellyfin state","Cualquier estado de Jellyfin","ok"
"users_filter_jellyfin_disabled","Jellyfin disabled","Jellyfin desactivado","ok"
"users_filter_jellyfin_missing","Missing in Jellyfin","Ausente en Jellyfin","ok"
"users_filter_jellyfin_ok","Healthy in Jellyfin","Jellyfin correcto","ok"
"users_filter_status_all","Any account status","Cualquier estado de cuenta","ok"
"users_filter_with_email","Has email address","Con correo electrÃ³nico","ok"
"users_filter_without_email","No email address","Sin correo electrÃ³nico","ok"
"users_filters_clear","Clear filters","Limpiar filtros","ok"
"users_filters_desc","Combine search, state, Jellyfin sync, invitation rights, and expiry signals.","Combina bÃºsqueda, estado, sincronizaciÃ³n con Jellyfin, permisos de invitaciÃ³n y seÃ±ales de caducidad.","ok"
"users_filters_none","No active filters.","No hay filtros activos.","ok"
"users_filters_title","Find the right accounts","Encuentra las cuentas correctas","ok"
"users_heading","User Management","Gestion de usuarios","ok"
"users_jellyfin_disabled","Jellyfin disabled","Jellyfin deshabilitado","ok"
"users_jellyfin_missing","Jellyfin missing","Falta en Jellyfin","ok"
"users_jf_bitrate_placeholder","Remote bitrate limit (kbps)","LÃ­mite de bitrate remoto (kbps)","ok"
"users_jf_download_allowed","Downloads allowed","Descargas permitidas","ok"
"users_jf_download_blocked","Downloads blocked","Descargas bloqueadas","ok"
"users_jf_download_unchanged","Keep current download policy","Mantener polÃ­tica actual de descargas","ok"
"users_jf_remote_allowed","Remote access allowed","Acceso remoto permitido","ok"
"users_jf_remote_blocked","Remote access blocked","Acceso remoto bloqueado","ok"
"users_jf_remote_unchanged","Keep current remote policy","Mantener polÃ­tica actual de acceso remoto","ok"
"users_jf_sessions_placeholder","Max active sessions","Sesiones activas mÃ¡ximas","ok"
"users_live_filters_desc","See the active constraints before applying a bulk action.","Consulta las restricciones activas antes de aplicar una acciÃ³n masiva.","ok"
"users_live_filters_title","Filter snapshot","Resumen de filtros","ok"
"users_load_error","Unable to load users","No se pudieron cargar los usuarios","ok"
"users_load_error_details","The users list could not be loaded.","No se pudo cargar la lista de usuarios.","ok"
"users_no","No","No","untranslated"
"users_no_filter_match","No account matches the current filters.","Ninguna cuenta coincide con los filtros actuales.","ok"
"users_no_local","No local accounts found yet.","TodavÃ­a no hay cuentas locales.","ok"
"users_overview_expiring","Expired access","Accesos caducados","ok"
"users_overview_filtered","Visible now","Visibles ahora","ok"
"users_overview_inviters","Can invite","Pueden invitar","ok"
"users_overview_total","Total accounts","Cuentas totales","ok"
"users_reset","Reset","Restablecer","ok"
"users_reset_error","Unable to send the password reset message.","No se pudo enviar el mensaje de restablecimiento de contraseÃ±a.","ok"
"users_reset_sent","Password reset link sent to {username}","Enlace de restablecimiento enviado a {username}","ok"
"users_search_placeholder","Search...","Buscar...","ok"
"users_segment_access","Access policy","PolÃ­tica de acceso","ok"
"users_segment_accounts","Account state","Estado de cuenta","ok"
"users_segment_delivery","Communication","ComunicaciÃ³n","ok"
"users_select_filtered","Select filtered","Seleccionar filtrados","ok"
"users_selection_clear","Clear selection","Limpiar selecciÃ³n","ok"
"users_selection_desc","Review the exact accounts that will be affected next.","Revisa exactamente quÃ© cuentas se verÃ¡n afectadas a continuaciÃ³n.","ok"
"users_selection_empty","No users selected yet.","TodavÃ­a no hay usuarios seleccionados.","ok"
"users_selection_more","+{count} more","+{count} mÃ¡s","ok"
